0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Class_names,Filenames,Predicted_classes
0,0,0,2.063951,0,0,3.9323924,2.2917957,0.98198116,0,0,0,5.602721,0,0.4511591,0,0,0,0,0.6469259,0,0,0,0,0,0,0,0,0,0,1.5614953,3.8340926,0,0,0.3528188,0,0.47041404,0,2.9475865,5.085055,3.003356,3.2676778,0,0,2.5074673,0,0,0,0,3.055177,3.4152725,0,0,0,0,0,0,0.6076044,0,0,0,0,0,0,flooring and fluorescent_tube,85_flooring and fluorescent_tube.jpg,12
0,2.8149433,0,0.26036182,0,0,0,3.1757424,0,0,0,0,0.25249308,0,1.3933934,0,0,0,0.12925035,2.6452088,0,0,0.49417567,0,0,0,0,0.483007,0,1.6678956,0,2.862994,0,0.76091284,1.524434,0,0.8725674,0.74136895,0,1.0883157,0.12777372,0,0,3.6954784,0,0,0,0,2.5728817,3.0128062,4.271603,2.0093353,0,0,0,0,0,0,0,1.3329322,0,0,0,0,flooring and fluorescent_tube,121_flooring and fluorescent_tube.jpg,50
4.087811,0,0,0,0,0,3.1834888,2.419536,5.7788806,0,0,0,3.4031637,0,0,0,0,0,1.0462013,0,0,0,0.7524736,0,0,0,1.5016842,0,0,1.8948734,1.1029377,0,0,0,0,0,3.7054598,0,0,0,0,0,0,3.3919773,0,0,2.8629928,0,2.5352879,1.0658486,0,0,0,0,4.8284755,0,4.0764236,0,0,0,0,0,0,1.8738314,flooring and fluorescent_tube,100_flooring and fluorescent_tube.jpg,8
0.10058598,4.169694,0,1.4911296,0,0,0,0,0.3144491,0,0,0,0,0,7.534062,0,0.3292416,1.3958215,1.8598574,0,0,0,2.6863647,0,0,0,0,1.772139,0.50724083,3.3095632,0,0,0,0,0,0,7.471314,0,0,0,0,0.33039206,3.549125,5.6996064,0,0,0,0,1.4216571,0,3.5179331,0,0,0,0.43709952,0,0,0,0,0.77197105,0,0,0.8568212,0,flooring and fluorescent_tube,124_flooring and fluorescent_tube.jpg,14
0,0,0,1.9107065,0,0,0,0,0,0,0,0,1.599495,0,3.644284,0,0,1.0281644,0,0.07504125,0,0,0,0,0,0,0,0,0,0.8956257,0,0.5828582,0,1.9973345,0,0,0.088530965,0,0,0.87711596,0,0.27488193,2.7001636,0,0.33406433,0,0,0,0,0,1.9871739,0,0,0,0,0,0,0,0,0,0,0,3.4689996,0.79893106,flooring and fluorescent_tube,69_flooring and fluorescent_tube.jpg,14
5.118735,0,0,4.2283936,0,0,0,2.2753136,1.7431265,0,0,0,2.585996,0,4.3546886,0,0,0,1.0763692,1.311651,0,0,3.3972511,0,0,0,2.2997553,0,0,0.7961938,1.1911947,0.8705748,0,0,0,0,3.3670516,0,0,0,0,0,0,2.0210516,0,0,0,0,0,1.112991,3.1561253,0,0,0,2.5518506,0,0.37299958,0,0,0,0,0.27091998,0,0,flooring and fluorescent_tube,98_flooring and fluorescent_tube.jpg,0
0.68364435,0,0,0,0,0,2.505974,2.4968026,2.7425401,0,0,0,1.5179191,0,0.43200502,0,0,0,1.1153307,1.5883424,0,0,0,0,0,0,0,0.22798948,2.877411,2.6824708,3.7143605,0,0,0,0.7911378,2.1531076,2.482182,0,0,0,0,0,0.8593159,0,3.6482944,0,1.5191035,0,0,1.1431558,0,0.326626,0,1.1760787,0,0,0,2.5835192,0,0,0,0.15005535,0,0,flooring and fluorescent_tube,12_flooring and fluorescent_tube.jpg,30
4.1979284,0,0,0,0,0,0,0,4.1564245,0,0,0,0,0,0,0,0,0.98536724,0,0.107981056,0,0,0,0,0,0,0.33222347,0,0,5.487661,2.3797462,1.980418,0,0.28534496,0,0,2.2429821,0,1.4054669,0.5705606,0,0,0.99293685,6.1061163,0,0,0,0,0,1.6252706,1.0296148,0,0,0,0.91594535,0,5.769534,1.1220255,0,0,0,0,0,0.7107445,flooring and fluorescent_tube,111_flooring and fluorescent_tube.jpg,43
2.0552104,0,0,0,0,0,0,0,0.5103424,0,0,0.50487286,0,0,2.1773438,0,0,0.75327533,5.2198076,0,0,0,0,0,0,0,0,0,1.0921161,3.440457,2.120238,0,0,0,0,0,2.2266529,0,0,0,0,0,4.1534114,3.5816069,3.0347812,0,0.8821879,0,0,0,0,0,0,0,2.0658615,0,0,0.10000293,0,0,0,0,0.32997915,0,flooring and fluorescent_tube,0_flooring and fluorescent_tube.jpg,18
1.562709,0,0,0.21301131,0,0,0,1.2131413,2.6432078,0,0,0,0,0,0,0,0,0,0.804165,2.2738743,0,0,0.296107,0,0,0,2.4619744,0,0,1.4711913,0.3008414,0,0,0,0,0,1.9989082,0,0,0,0,0,0,3.3438034,0,0,1.5818834,0,1.4452388,1.3038104,0.52579224,0,0,0,0.37267274,0,1.5793456,0,0,0,0,0.5979821,0,1.2666107,flooring and fluorescent_tube,11_flooring and fluorescent_tube.jpg,43
