0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Class_names,Filenames
0,0,0,2.471615,0,0,0.4432566,4.8276477,1.287138,0,0,0,0,0,3.8883483,0,0,0,0.002914588,7.1318755,0,0,0,0,0,0,5.94748,0.25636536,0,1.3783373,1.7720166,6.322297,0,1.6775644,3.57273,0,4.580023,0,0,0,0,0,0,0,0,0,0,0,0,4.793019,0,0,0,0,0.88743824,0,0,2.6629045,0,0,0,0,0,0,night_table,17_Night_table.jpeg
4.575298,0,0,3.0434182,0,0,0,0,0,0,0,0,0,0,2.8440824,0,0,1.3729424,5.226159,0,0,0,0,0,0,1.1304035,0.14961836,0,0,2.688789,0,0,0,2.1051798,0,0,0.9676177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2672467,0.19330709,0,0,1.5349001,3.8053372,1.5230147,night_table,52_Night_table.jpeg
2.8375666,0,0,2.70566,0,0,0,0.20173475,0,0,0,0,0,0,2.6201055,0,0,0,1.6563491,1.3646517,0,0,0,0,0,0.8778596,1.786106,0,0,0.7342669,0,0.8613396,0,0,1.0993088,0,3.4762003,0,0,0,0,0,0,0,0,0,0,0,0,2.9310224,0.25836766,0,0,0,0,0,0,1.6870793,0,0,0,0.2238104,1.0438112,0,night_table,41_Night_Tables.jpeg
2.125351,0,0,1.5996919,0,0,0,1.3937637,0,0,0,0,0.6348263,0,2.387251,0,0,0,0,3.8597147,0,0,0,0,0,0,3.297412,0,2.5313742,3.4882655,0,0,0,1.0677395,0.4328929,0,5.038423,0,0,0,0,0,2.0386734,3.8208609,0,0,0.6123188,0,0.62562394,3.7950907,0.3490333,0,0,0,0,0,1.8799851,0,0,0,0,0,0.041217875,0.032340802,night_table,15_Night_Tables.jpeg
1.4968816,0,0,2.5748684,0,0,0,0.92453414,0.7255393,0,0,0,0,0,3.3654227,0,0,1.5077373,2.5482314,0,0,0,0,0,0,0,0.43576008,0,0,0.28582096,0,0.06389104,0,3.3160295,0,0,2.5532978,0,0.08201428,0,0,0,0.829131,0,0.61517453,0,0,0,0,0,2.0287848,0,0,0,0,0,0,1.993603,0,0,0,0,1.78116,1.1436744,night_table,76_Night_table.jpeg
0,0,0,3.056026,0,0,0,3.704486,1.4081862,0,0,0,1.0400455,0,3.852016,0,0,0,0.41401744,4.823049,0,0,0,0,0,0,2.4145265,0,0,2.4412887,0.6256115,3.1790323,0,0,3.2257185,0,3.041016,0,0,0.9745743,0,0,0,0,0.21828668,0,0,0,0,2.7870119,3.052889,0,0,0,0,0,0,1.2142262,0,0,0,0,0,0,night_table,9_Night_table.jpeg
0,0,0,3.9411097,0,0,0,5.5137906,1.2019186,0,0,0,0.84334385,0,3.0485294,0,0,0,0.21469167,5.9769464,0,0,0,0,0,0,3.9967813,0,0,0.79503417,1.9186335,4.8554125,0,0.683243,4.6938663,0,3.0609648,0,0,0.93788064,0,0,0,0,0,0,0,0,0,4.529714,1.2881533,0,0,0,0,0,0,2.7149553,0,0,0,0,0,0,night_table,19_Night_table.jpeg
2.260281,0,0,4.286145,0,0,0,3.316988,0,0,0,0,0.12549658,0,0.86293703,0,0,0,0,3.8147302,0,0,0,0,0,0,0,0,0,0,0.1918542,4.6905885,0,0.79612345,0.7111188,0,0.1888815,0.04968308,0,3.1627474,0,0,0,0,0,0,0,0,0.3965825,5.4073677,2.5573742,0,0,0,0,0,0,0,0,0,0,0,1.0541608,0,night_table,61_Night_table.jpeg
3.0482635,0,0,1.897614,0,0,0,3.7488492,1.4797698,0,0,0,0.543964,0,2.650203,0,0,0,0.63018316,5.652069,0,0,0,0,0,0,3.9755602,0,1.3838663,3.0346205,1.0668671,2.8633463,0,2.9084933,2.704853,0,3.256707,0,0,0,0,0,0,0,0,0,0,0,0,6.099955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,night_table,35_Night_table.jpeg
2.4668415,0,0,3.0538208,0,0,0,1.5068505,1.8956418,0,0,0,1.7714988,0,3.9536583,0,0,0.15747717,0.9187552,1.5630133,0,0,0,0,0,0,1.3563141,0,0,1.5836786,0.24696483,0,0,0,0,0,0.46480414,0,0,0,0,0,0,0,1.0867127,0,0,0,0,0,2.435986,0,0,0,0,0,0,1.8261507,0,0,0,0,0.49701646,1.2762163,night_table,54_Night_table.jpeg
0,0,0,3.0012221,0,0,1.4983009,5.2646313,1.129023,0,0,0,0,0,3.0442286,0,0,0,0,6.752208,0,0,0,0,0,0,6.029574,0.44278985,0,0.24116829,1.4419808,6.870582,0,1.6064593,4.829151,0,4.192608,0,0,0.84361255,0,0,0,0.13084628,0,0,0,0,0,5.281057,0,0,0,0,2.8073146,0,0,3.127635,0,0,0,0,0,0,night_table,58_Night_Tables.jpeg
0,0,0,0.3573472,0,0,1.0484055,3.4798055,4.8877053,0,0,0,0.11790271,0,1.0401258,0,0,0,2.6587534,3.7201738,0,0,0,0,0,0,3.3889232,0,0,1.8530543,2.1470025,2.0336494,0,0,1.7186065,0,5.2707925,0,0,0,0,0,0,0,0,0,0,0,0,3.1998763,0,0,0,0,0.25188136,0,0,3.4729419,0,0,0,1.4337218,0,0,night_table,8_Night_Tables.jpeg
0,0,0,1.8053432,0,0,1.906737,5.133994,1.510079,0,0,0,6.335539,0,2.871931,0,0,0,0,1.9970111,0,0,0.46581495,0,0,0,0,0,0,0,0,0.42355353,0,0,0.4479995,0,2.6842697,0,0,4.807565,0,0,0,0.70735073,0,0,0,0,0,4.4421268,5.8745956,0,0,0,0.9424767,0,0,0,0,0,0,0,0,0.38530296,night_table,147_Night_table.jpeg
1.7051072,0,0,1.8749084,0,0,0,2.1715722,0.15796106,0,0,0,0.810279,0,2.573369,0,0,0,2.1489587,4.9487453,0,0,0,0,0,0,4.20461,0,0,2.376263,0,1.0823629,0,1.121945,2.1630988,0,2.921538,0,0,0,0,0,0,0,0,0,0,0,0,4.26775,0,0,0,0,0,0,0,1.2540014,0,0,0,1.4328761,0,0,night_table,32_Night_table.jpeg
0,0,0,2.8213606,0,0,1.9438317,7.1555915,3.2507224,0,0,0,1.5609256,0,1.2260956,0,0,0,0.24386327,4.525251,0,0,0,0,0,0,4.06729,0,0,0,2.064317,4.5785604,0,2.2489517,4.671913,0,5.475633,0,0,1.3256719,0,0,0,0,0,0,0,0,0,3.901036,0,0,0,0,0.672016,0,0,4.9466887,0,0,0,0,0,0,night_table,82_Night_table.jpeg
1.5425265,0,0,2.926871,0,0,0,1.5031221,0,0,0,0,1.761834,0,3.955179,0,0,0,0.42271215,0.755266,0,0,0,0,0,0,0.5825782,0,0,1.3702058,0,1.6286608,0,0,0,0,1.8437895,0,0,1.1337323,0,0,0,0,0,0,0,0,0,1.4010854,2.078422,0,0,0,0,0,0,0,0,0,0,0,1.977562,0,night_table,80_Night_table.jpeg
0,0,0,3.4477549,0,0,0,2.9741678,0.4393275,0,0,0,0.9305399,0,4.3972373,0,0,0,0.6233161,4.9051733,0,0,0,0,0,0,2.2760386,0,0,1.6676185,0,1.9549617,0,0.323649,3.0794702,0,3.1687763,0,0,0.8959396,0,0,0,0,0,0,0,0,0,2.8467083,2.8758016,0,0,0,0,0,0,0.46156663,0,0,0,0,0.45152804,0,night_table,6_Night_Tables.jpeg
0,0,0,3.1825502,0,0,0.19537893,5.7064843,1.0297661,0,0,0,0,0,4.327727,0,0,0,0,7.6217194,0,0,0,0,0,0,6.6053076,0.7880278,0,1.6219445,1.3452313,7.547801,0,1.9021599,4.912554,0,4.1937885,0,0,0.01564861,0,0,0,0.5162003,0,0,0,0,0,6.1926737,0,0,0,0,1.3275193,0,0,2.8428326,0,0,0,0,0,0,night_table,83_Night_table.jpeg
0,0,0,2.2377098,0,0,0.26715255,4.0321774,3.5640316,0,0,0,2.5504382,0,4.9754004,0,0,0,0,4.0589156,0,0,0,0,0,0,3.4606886,0,0,1.0610483,0,3.245171,0,1.5936259,1.8631034,0,4.647282,0,0,2.3109558,0,0,0,0,0,0,0,0,0,3.480753,1.1713607,0,0,0,0,0,0,1.3564218,0,0,0,0,0,0,night_table,21_Night_table.jpeg
3.2697105,0,0,2.416348,0,0,0,0.09374684,0.081841476,0,0,0,0.22647841,0,4.172319,0,0,0,2.9067514,1.2888906,0,0,0,0,0,0,3.6161304,0,0,3.1194034,0,0,0,0,0,0,2.3894436,0,0,0,0,0,0.9286255,1.0570253,0,0,0,0,0,1.8350681,0,0,0,0,0.10769979,0,0,0,0,0,0,1.9252166,1.551738,0,night_table,52_Night_Tables.jpeg
1.9659945,0,0,1.859324,0,0,0,0.76851606,1.3287231,0,0,0,0,0,3.2524476,0,0,0,2.7406316,1.096195,0,0,0,0,0,0,2.681089,0,0,1.9583044,0,0,0,0.03743576,0,0,1.8949851,0,0,0,0,0,0,0,0,0,0,0,0,1.9417895,0,0,0,0,0,0,0,1.6645004,0,0,0,1.8191739,1.1335216,0,night_table,53_Night_table.jpeg
0,0,0,2.401456,0,0,0,2.0339894,0,0,0,0,2.003471,0,3.7582364,0,0,0,1.0126336,3.1024585,0,0,0,0,0,0,2.0302265,0,0,2.320902,0,3.4808767,0,1.1631814,2.0736375,0,3.767736,0,0,0.07159376,0,0,0,0,0,0,0,0,0,3.9169793,2.3979106,0,0,0,0,0,0,0,0,0,0,0,0.89797854,0,night_table,124_Night_table.jpeg
1.0715016,0,0,2.518566,0,0,0,4.4425826,1.8462855,0,0,0,0,0,4.3006735,0,0,0,1.3022091,2.0914931,0,0,0,0,0,0,0.5059247,0,0,0,0,4.304952,0,1.8777646,2.5722795,0,1.998185,0,0,1.7008916,0,0,0,0,0,0,0,0,0,2.6515915,1.1908169,0,0,0,1.9108555,0,0,0.9918499,0,0,0,0,0,0,night_table,63_Night_table.jpeg
2.1820102,0,0,0.89486825,0,0,0,3.6568918,3.4247398,0,0,0,0,0,0,0,0,0,0,3.0532734,0,0,0,0,0,0,0,0,0,3.7574224,0.21358092,2.2221792,0,3.2001722,2.2159824,0,1.5745219,0.40118563,0,0.041442104,0,0,0,1.6411681,0,0,0,0,0,6.3491597,0,0,0,0,0,0,1.4012834,0,0,0,0,0,0,0,night_table,78_Night_table.jpeg
0,0,0,2.4628782,0,0,0,4.30292,1.9092835,0,0,0.35376397,0.751987,0,3.1065962,0,0,0,0.30476394,6.4378543,0,0,0,0,0,0,4.800717,0,0.7427762,2.286452,1.4170663,2.548746,0,1.4838226,3.7469873,0,4.4130406,0,0,0,0,0,0,0.19609953,0,0,0,0,0,5.0802064,0.002595344,0,0,0,1.0209576,0,0,1.2020856,0,0,0,0,0,0,night_table,71_Night_table.jpeg
6.31087,0,0,1.1168201,0,0,0,0.001353983,1.2596364,0,0,0,1.2165176,0,3.9533696,0,0,0,2.9115698,0,0,0,2.4653928,0,0,0,2.7266464,0.24656181,0,1.7213119,0,0,0,0,0,0,2.9868543,0,0,0,0,0,0.58897734,0.24494563,0,0,1.9095857,0,0,0,0.40911,0,0,0,1.1484764,0,0,0,0,0,0,0.5082399,0,0.7745269,night_table,87_Night_table.jpeg
2.0091782,0,0,0.6095457,0,0,0,0,0,0,0,0,1.7380759,0,3.3350334,0,0,0,3.5545995,3.219584,0,0,0,0,0,0,0.9430141,0,0,4.269202,0,0.22795516,0,0.04341783,0,0,4.201759,0,0,0.29056513,0.57650137,0,1.3181895,1.6083279,0,0,0,0,1.2108189,4.7530856,1.8644356,0.1382832,0,0,0.34180754,0,0,0,0,0,0,0,1.4258764,0,night_table,134_Night_table.jpeg
2.3208895,0,0,3.5155272,0,0,0,0.6311625,0,0,0,0,0.50293535,0,3.0396605,0,0,0.27234158,1.3035071,0.605132,0,0,0.18354386,0,0,0,0,0,0,0.2757933,0,2.865265,0,0.753189,0,0,0,0,1.5816983,0,0,0,0,0,0,0,0,0,0,1.1519257,3.7472374,0,0,0,0,0,0,0,0,0,0,0,1.8837893,1.5703875,night_table,109_Night_table.jpeg
2.2221236,0,0,1.8745809,0,0,0,2.6449983,0.20604114,0,0,0,0.2027082,0,2.0054674,0,0,1.5715044,0,3.394049,0,0,0.5091301,0,0,0,1.4124669,0,0.42210177,4.9119534,0,3.5545783,0,1.0294023,0.8310548,0,3.3989294,0,0,0,0,0,0,6.733966,0,0,0,0,3.754832,3.9836957,2.646944,0,0,0,1.8206819,0,4.4128356,0,0,0,0,0,0.18801491,1.9250752,night_table,102_Night_table.jpeg
